"","year","state","measurement.s.","chemical","chemical.type","value","toxin","level"
"560",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","IMIDACLOPRID","INSECTICIDE",2.484906649788,"Bee.Toxins","high"
"561",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","MALATHION","INSECTICIDE",3.3322045101752,"Carcinogen","possible"
"562",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","MALATHION","INSECTICIDE",3.3322045101752,"Hormone.Disruptor","suspected"
"563",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","MALATHION","INSECTICIDE",3.3322045101752,"Neurotoxins","present"
"565",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","MALATHION","INSECTICIDE",3.3322045101752,"Bee.Toxins","high"
"570",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","METHOXYFENOZIDE","INSECTICIDE",3.61091791264422,"Bee.Toxins","slight"
"580",2019,"CALIFORNIA","MEASURED IN PCT OF AREA BEARING","THIAMETHOXAM","INSECTICIDE",3.17805383034795,"Bee.Toxins","high"
"586",2019,"FLORIDA","MEASURED IN LB","CAPTAN","FUNGICIDE",11.8920465977388,"Carcinogen","known"
"600",2019,"FLORIDA","MEASURED IN LB","FLUDIOXONIL","FUNGICIDE",7.90100705199242,"Bee.Toxins","slight"
"605",2019,"FLORIDA","MEASURED IN LB","ACETAMIPRID","INSECTICIDE",5.29831736654804,"Bee.Toxins","moderate"
"610",2019,"FLORIDA","MEASURED IN LB","BIFENAZATE","INSECTICIDE",6.5510803350434,"Bee.Toxins","moderate"
"611",2019,"FLORIDA","MEASURED IN LB","BIFENTHRIN","INSECTICIDE",5.7037824746562,"Carcinogen","possible"
"612",2019,"FLORIDA","MEASURED IN LB","BIFENTHRIN","INSECTICIDE",5.7037824746562,"Hormone.Disruptor","suspected"
"614",2019,"FLORIDA","MEASURED IN LB","BIFENTHRIN","INSECTICIDE",5.7037824746562,"Developmental.or.Reproductive.Toxins","present"
"615",2019,"FLORIDA","MEASURED IN LB","BIFENTHRIN","INSECTICIDE",5.7037824746562,"Bee.Toxins","high"
"620",2019,"FLORIDA","MEASURED IN LB","THIAMETHOXAM","INSECTICIDE",4.60517018598809,"Bee.Toxins","high"
"626",2019,"FLORIDA","MEASURED IN LB / ACRE / APPLICATION","CAPTAN","FUNGICIDE",0.740984509974105,"Carcinogen","known"
"640",2019,"FLORIDA","MEASURED IN LB / ACRE / APPLICATION","FLUDIOXONIL","FUNGICIDE",-1.57987911019256,"Bee.Toxins","slight"
"645",2019,"FLORIDA","MEASURED IN LB / ACRE / APPLICATION","ACETAMIPRID","INSECTICIDE",-2.31263542884755,"Bee.Toxins","moderate"
"650",2019,"FLORIDA","MEASURED IN LB / ACRE / APPLICATION","BIFENAZATE","INSECTICIDE",-1.95899538860397,"Bee.Toxins","moderate"
"651",2019,"FLORIDA","MEASURED IN LB / ACRE / APPLICATION","BIFENTHRIN","INSECTICIDE",-2.99573227355399,"Carcinogen","possible"
"652",2019,"FLORIDA","MEASURED IN LB / ACRE / APPLICATION","BIFENTHRIN","INSECTICIDE",-2.99573227355399,"Hormone.Disruptor","suspected"
"654",2019,"FLORIDA","MEASURED IN LB / ACRE / APPLICATION","BIFENTHRIN","INSECTICIDE",-2.99573227355399,"Developmental.or.Reproductive.Toxins","present"
"655",2019,"FLORIDA","MEASURED IN LB / ACRE / APPLICATION","BIFENTHRIN","INSECTICIDE",-2.99573227355399,"Bee.Toxins","high"
"660",2019,"FLORIDA","MEASURED IN LB / ACRE / APPLICATION","THIAMETHOXAM","INSECTICIDE",-2.91877123241786,"Bee.Toxins","high"
"666",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","CAPTAN","FUNGICIDE",2.82470667650189,"Carcinogen","known"
"680",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","FLUDIOXONIL","FUNGICIDE",-0.84863208340034,"Bee.Toxins","slight"
"685",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","ACETAMIPRID","INSECTICIDE",-2.06356819252355,"Bee.Toxins","moderate"
"690",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","BIFENAZATE","INSECTICIDE",-0.410980288796275,"Bee.Toxins","moderate"
"691",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","BIFENTHRIN","INSECTICIDE",-2.56394985712845,"Carcinogen","possible"
"692",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","BIFENTHRIN","INSECTICIDE",-2.56394985712845,"Hormone.Disruptor","suspected"
"694",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","BIFENTHRIN","INSECTICIDE",-2.56394985712845,"Developmental.or.Reproductive.Toxins","present"
"695",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","BIFENTHRIN","INSECTICIDE",-2.56394985712845,"Bee.Toxins","high"
"700",2019,"FLORIDA","MEASURED IN LB / ACRE / YEAR","THIAMETHOXAM","INSECTICIDE",-2.3538783873816,"Bee.Toxins","high"
"715",2019,"FLORIDA","MEASURED IN NUMBER","FLUDIOXONIL","FUNGICIDE",0.741937344729377,"Bee.Toxins","slight"
"720",2019,"FLORIDA","MEASURED IN NUMBER","ACETAMIPRID","INSECTICIDE",0.262364264467491,"Bee.Toxins","moderate"
"725",2019,"FLORIDA","MEASURED IN NUMBER","BIFENAZATE","INSECTICIDE",1.54756250871601,"Bee.Toxins","moderate"
